country,state,city,station,last_update,latitude,longitude,pollutant_id,pollutant_min,pollutant_max,pollutant_avg
India,Andhra_Pradesh,Anantapur,"Gulzarpet, Anantapur - APPCB","07-01-2024 09:00:00",14.675886,77.593027,SO2,4,7,5
India,Andhra_Pradesh,Anantapur,"Gulzarpet, Anantapur - APPCB","07-01-2024 09:00:00",14.675886,77.593027,OZONE,17,39,22
India,Andhra_Pradesh,Chittoor,"Gangineni Cheruvu, Chittoor - APPCB","07-01-2024 09:00:00",13.204880,79.097889,SO2,7,41,14
India,Andhra_Pradesh,Chittoor,"Gangineni Cheruvu, Chittoor - APPCB","07-01-2024 09:00:00",13.204880,79.097889,CO,2,20,8
India,Andhra_Pradesh,Kadapa,"Yerramukkapalli, Kadapa - APPCB","07-01-2024 09:00:00",14.465052,78.824187,NH3,NA,NA,NA
India,Andhra_Pradesh,Kadapa,"Yerramukkapalli, Kadapa - APPCB","07-01-2024 09:00:00",14.465052,78.824187,SO2,1,2,1
India,Andhra_Pradesh,Kadapa,"Yerramukkapalli, Kadapa - APPCB","07-01-2024 09:00:00",14.465052,78.824187,CO,15,27,19
India,Andhra_Pradesh,Rajamahendravaram,"Anand Kala Kshetram, Rajamahendravaram - APPCB","07-01-2024 09:00:00",16.9872867,81.7363176,PM2.5,61,150,106
India,Andhra_Pradesh,Rajamahendravaram,"Anand Kala Kshetram, Rajamahendravaram - APPCB","07-01-2024 09:00:00",16.9872867,81.7363176,NO2,16,50,28
India,Andhra_Pradesh,Rajamahendravaram,"Anand Kala Kshetram, Rajamahendravaram - APPCB","07-01-2024 09:00:00",16.9872867,81.7363176,NH3,2,3,3
India,Andhra_Pradesh,Tirupati,"Tirumala, Tirupati - APPCB","07-01-2024 09:00:00",13.67,79.35,PM2.5,40,85,59
India,Andhra_Pradesh,Tirupati,"Tirumala, Tirupati - APPCB","07-01-2024 09:00:00",13.67,79.35,NH3,2,3,2
India,Andhra_Pradesh,Vijayawada,"HB Colony, Vijayawada - APPCB","07-01-2024 09:00:00",16.536107,80.594233,PM10,43,89,57
India,Andhra_Pradesh,Vijayawada,"HB Colony, Vijayawada - APPCB","07-01-2024 09:00:00",16.536107,80.594233,OZONE,31,79,41
India,Andhra_Pradesh,Vijayawada,"Kanuru, Vijayawada - APPCB","07-01-2024 09:00:00",16.486692,80.699436,PM10,67,102,84
India,Andhra_Pradesh,Vijayawada,"Kanuru, Vijayawada - APPCB","07-01-2024 09:00:00",16.486692,80.699436,NH3,1,1,1
India,Andhra_Pradesh,Vijayawada,"Kanuru, Vijayawada - APPCB","07-01-2024 09:00:00",16.486692,80.699436,OZONE,30,30,30
India,Andhra_Pradesh,Vijayawada,"Rajiv Gandhi Park, Vijayawada - APPCB","07-01-2024 09:00:00",16.509717,80.612222,SO2,4,17,10
India,Andhra_Pradesh,Visakhapatnam,"GVM Corporation, Visakhapatnam - APPCB","07-01-2024 09:00:00",17.72,83.3,NO2,27,66,50
India,Andhra_Pradesh,Visakhapatnam,"GVM Corporation, Visakhapatnam - APPCB","07-01-2024 09:00:00",17.72,83.3,OZONE,4,191,63
India,Arunachal_Pradesh,Naharlagun,"Naharlagun, Naharlagun - APSPCB","07-01-2024 09:00:00",27.103358,93.679645,PM10,29,149,77
India,Arunachal_Pradesh,Naharlagun,"Naharlagun, Naharlagun - APSPCB","07-01-2024 09:00:00",27.103358,93.679645,NO2,2,2,2
India,Assam,Byrnihat,"Central Academy for SFS, Byrnihat - PCBA","07-01-2024 09:00:00",26.071318,91.87488,PM10,26,431,224
India,Assam,Byrnihat,"Central Academy for SFS, Byrnihat - PCBA","07-01-2024 09:00:00",26.071318,91.87488,CO,36,112,76
India,Assam,Guwahati,"LGBI Airport, Guwahati - PCBA","07-01-2024 09:00:00",26.10887,91.589544,PM2.5,75,388,211
India,Assam,Guwahati,"Pan Bazaar, Guwahati - PCBA","07-01-2024 09:00:00",26.187500,91.744194,PM2.5,45,325,194
India,Assam,Guwahati,"Pan Bazaar, Guwahati - PCBA","07-01-2024 09:00:00",26.187500,91.744194,NH3,3,5,4
India,Assam,Nagaon,"Christianpatty, Nagaon - PCBA","07-01-2024 09:00:00",26.349082,92.68449,PM2.5,63,361,162
India,Assam,Nagaon,"Christianpatty, Nagaon - PCBA","07-01-2024 09:00:00",26.349082,92.68449,OZONE,5,58,9
India,Assam,Sivasagar,"Girls College, Sivasagar - PCBA","07-01-2024 09:00:00",26.987634,94.636574,CO,4,46,30
